POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
146,(B),40,30.4153,41.891,43.7001,1536,62
147,(B),41,30.372,41.9532,43.6391,696,40
148,(B),38,30.5621,41.8909,43.6743,6400,86
149,(B),41,30.2815,41.9641,43.5848,592,41
150,(B),40,30.3901,41.8371,43.5371,1416,64
151,(B),41,30.7855,41.8804,43.4703,568,39
152,(B),35,31.4963,41.8362,43.4778,22320,134
153,(B),41,30.5007,41.915,43.4272,536,39
154,(B),40,30.013,41.8945,43.4385,1928,69
155,(B),41,30.0226,41.9387,43.5016,408,38
156,(B),38,30.4209,41.8907,43.5424,7200,84
157,(B),41,30.1587,41.9239,43.5133,488,38
158,(B),40,30.3728,41.866,43.4985,1440,62
159,(B),41,30.6915,41.8905,43.5513,680,40
160,(B),33,32.6664,41.7924,43.5871,39800,176
161,(B),41,31.2017,41.8319,43.6073,888,50
162,(B),40,30.4938,41.8584,43.5028,1408,60
163,(B),41,30.2069,41.8081,43.4554,568,40
164,(B),38,30.2362,41.7825,43.5113,7568,91
165,(B),41,29.8068,41.8642,43.5721,608,38
166,(B),40,29.8512,41.8119,43.5037,1592,64
167,(B),41,30.4478,41.7109,43.4098,608,37
168,(B),35,31.5304,41.714,43.4478,22264,133
169,(B),41,30.7279,41.8173,43.4102,584,41
170,(B),40,29.9504,41.7132,43.4285,1584,65
171,(B),41,29.8056,41.7413,43.4088,584,44
172,(B),38,30.1567,41.6144,43.5153,8376,94
173,(B),41,29.8717,41.548,43.4202,688,48
174,(B),40,30.2399,41.6728,43.4261,1672,60
175,(B),41,30.892,41.6945,43.5005,616,37
176,(B),33,32.5721,41.7441,43.4729,41704,176
177,(B),41,31.1524,41.7321,43.4674,592,38
178,(B),40,30.3061,41.7608,43.5111,1752,65
179,(B),41,30.1947,41.8202,43.5422,456,39
180,(B),38,30.508,41.799,43.5025,6424,91
181,(B),41,30.1581,41.8418,43.5503,728,44
182,(B),40,30.0481,41.6796,43.508,1928,65
183,(B),41,30.3499,41.7698,43.4598,656,37
184,(B),35,31.4379,41.7101,43.4024,22296,135
185,(B),41,30.6425,41.7803,43.4226,552,37
186,(B),40,30.1892,41.7572,43.4899,1472,57
187,(B),41,29.8422,41.8736,43.5119,592,48
188,(B),38,30.0166,41.8161,43.5351,7696,96
189,(B),41,29.6439,41.8341,43.5073,536,46
190,(B),40,29.8594,41.8011,43.5329,2136,64
191,(B),41,30.8741,41.8589,43.4926,656,37
192,(B),33,32.7089,41.7451,43.5578,38816,168
193,(B),41,31.3337,41.8362,43.4573,616,37
194,(B),40,30.5659,41.801,43.5022,1512,59
195,(B),41,30.2632,41.8054,43.3979,536,39
196,(B),38,30.4328,41.8379,43.4087,6768,86
197,(B),41,30.0994,41.7608,43.355,656,37
198,(B),40,30.152,41.6936,43.3757,1776,61
199,(B),41,30.6876,41.7511,43.3204,616,35
200,(B),35,31.4155,41.6732,43.3293,21272,133
201,(B),41,30.3859,41.7698,43.3085,464,42
202,(B),40,30.0236,41.6984,43.3532,1744,59
203,(B),41,30.099,41.7418,43.3452,728,41
204,(B),38,30.4593,41.7228,43.4148,6776,85
205,(B),41,30.0073,41.738,43.442,648,38
206,(B),40,30.2566,41.6116,43.3604,1888,62
207,(B),41,30.8788,41.7454,43.4541,760,37
208,(B),33,32.5678,41.6557,43.5455,38808,168
209,(B),41,31.1869,41.7524,43.4998,688,61
210,(B),40,30.4265,41.6878,43.4696,1584,58
211,(B),41,29.9985,41.7156,43.5011,704,40
212,(B),38,30.2873,41.7004,43.45,6920,102
213,(B),41,30.0025,41.7348,43.5999,568,46
214,(B),40,30.0246,41.6934,43.4873,2096,62
215,(B),41,30.1995,41.7047,43.4284,528,38
216,(B),35,31.3813,41.6683,43.4718,21688,140
217,(B),41,29.9095,41.7091,43.4242,440,39
218,(B),40,29.9446,41.6436,43.4241,2352,65
219,(B),41,29.9899,41.7138,43.4567,792,39
220,(B),38,30.5288,41.7067,43.4488,6872,90
