POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
294,B,40,30.3364,37.664,39.8137,1792,16
295,B,41,30.4706,37.4199,39.8784,1224,13
296,B,35,31.8766,37.9761,39.7675,6072,29
297,B,41,30.3001,37.6918,39.743,1256,13
298,B,40,30.3633,37.4668,39.5935,1776,15
299,B,41,29.8189,37.9836,39.7438,616,10
300,B,38,31.272,38.0043,39.7988,2576,19
301,B,41,29.9486,37.9157,39.8081,848,13
302,B,40,30.9218,38.1305,39.8519,1624,14
303,B,41,30.6622,38.271,39.7131,1264,13
304,B,33,32.789,38.3099,39.5937,10312,33
305,B,41,30.1625,37.81,39.5836,872,13
306,B,40,29.8193,37.4573,39.5087,1520,16
307,B,41,29.6878,37.4939,39.61,944,13
308,B,38,30.3755,37.6621,39.5848,3632,24
309,B,41,29.5222,37.936,39.7809,928,12
310,B,40,29.5801,37.8578,39.9472,2032,20
311,B,41,29.6299,38.1885,40.1546,1152,15
312,B,35,31.7785,38.127,39.7327,7488,30
313,B,41,29.5259,38.1448,39.7025,1032,15
314,B,40,29.8878,37.9672,39.6924,2400,19
315,B,41,29.3482,38.1603,39.6243,944,12
316,B,38,30.4486,37.987,39.248,3904,24
317,B,41,29.6014,38.3329,39.4841,728,12
318,B,40,30.1791,38.5936,39.6501,1584,16
319,B,41,30.1349,39.0663,39.9403,568,10
320,B,33,33.002,39.0193,39.9121,10136,36
321,B,41,30.8349,39.2203,40.0736,504,11
322,B,40,30.9507,39.2606,39.841,1128,17
323,B,41,30.9248,39.3805,39.9378,488,12
324,B,38,31.4788,39.2064,39.7619,2216,21
325,B,41,30.614,39.0963,39.6224,448,13
326,B,40,30.8993,39.1517,39.5211,960,16
327,B,41,31.3201,39.2327,39.8536,400,10
328,B,35,32.3736,39.3983,39.8463,4016,25
329,B,41,31.3535,39.3499,40.0156,344,9
330,B,40,31.4282,39.2162,40.0929,768,19
331,B,41,30.8263,39.2306,39.8748,360,9
332,B,38,31.606,39.195,39.7782,1968,19
333,B,41,30.8777,39.2405,39.7938,432,10
334,B,40,30.9386,38.6591,39.8867,944,16
335,B,41,31.2854,38.8917,39.9102,464,9
336,B,33,33.2139,38.8192,39.8974,9792,32
337,B,41,31.6224,38.4135,40.1638,328,9
338,B,40,31.5592,38.3953,40.128,816,13
339,B,41,31.1646,38.2127,40.2646,480,11
340,B,38,31.7596,38.4155,40.1751,1440,16
341,B,41,31.0829,38.5195,40.1915,312,9
342,B,40,31.7656,38.6001,40.3231,584,12
343,B,41,31.7282,38.6328,40.2505,312,9
344,B,35,32.5904,38.6291,40.255,3472,23
345,B,41,31.233,38.6356,40.2309,344,9
346,B,40,30.8555,38.7303,40.1507,880,16
347,B,41,30.9696,38.6947,40.1958,488,12
348,B,38,31.6518,38.6479,40.0482,1992,19
349,B,41,30.7242,38.7468,40.2561,424,9
350,B,40,31.0817,38.9148,40.1888,992,15
351,B,41,31.2995,39.0894,40.4136,608,10
352,B,33,32.9373,39.0297,40.4343,8208,29
353,B,41,31.2524,39.0743,40.6684,448,16
354,B,40,30.8941,38.9798,40.8342,1160,15
355,B,41,30.894,39.1682,40.8587,528,12
356,B,38,31.4634,39.1401,40.8308,2368,21
357,B,41,30.9693,39.2013,40.9567,432,11
358,B,40,31.2199,39.1029,41.0266,856,15
359,B,41,31.0539,39.2344,41.0224,424,9
360,B,35,32.4107,39.434,40.9958,4024,25
361,B,41,31.2794,39.2647,41.0306,384,11
362,B,40,31.4586,39.1834,41.0544,728,13
363,B,41,31.2902,39.4873,40.9433,320,11
364,B,38,31.8776,39.4755,40.9459,1456,18
365,B,41,31.6373,39.4173,40.863,296,9
366,B,40,32.0874,39.2723,40.8135,632,13
367,B,41,31.8575,39.3743,40.774,280,9
368,B,33,33.5641,39.3467,40.683,7776,31
369,B,41,32.4729,39.6041,40.7633,256,8
370,B,40,32.1876,39.4871,40.7413,552,12
371,B,41,31.6184,39.4633,40.6923,248,9
372,B,38,32.2317,39.2668,40.5843,1256,15
373,B,41,31.3146,39.3457,40.6613,264,8
374,B,40,32.1632,39.466,40.5825,728,13
375,B,41,31.7172,39.4793,40.5412,328,8
376,B,35,32.599,39.448,40.5797,4232,25
377,B,41,31.0013,39.1531,40.5678,560,11
378,B,40,31.3966,38.8674,40.5106,936,14
379,B,41,30.8715,38.7791,40.3902,352,10
380,B,38,31.5617,38.5919,40.3929,2440,20
381,B,41,30.6641,38.5631,40.1436,656,10
