POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
432,B,33,32.3522,34.6343,37.5639,703088,1937
433,B,41,29.4506,33.8662,37.4659,1688,317
434,B,40,28.3514,33.2113,37.4305,50968,821
435,B,41,28.1639,32.8939,37.2799,2744,379
436,B,38,29.1803,32.9229,37.2166,255016,1113
437,B,41,28.4228,32.8054,37.1965,1616,323
438,B,40,28.2883,32.9229,37.2313,54144,687
439,B,41,29.2089,33.4007,37.2378,1768,329
440,B,35,31.1636,33.9248,37.2727,510696,1682
441,B,41,29.1125,33.4486,37.2576,1784,441
442,B,40,28.3786,33.0268,37.2464,46304,676
443,B,41,28.4164,32.9005,37.0693,2112,340
444,B,38,29.1936,32.9952,37.133,254984,1093
445,B,41,28.3057,32.9595,37.1917,2048,368
446,B,40,28.5665,33.2994,37.3211,47096,655
447,B,41,29.4114,33.8983,37.457,2056,298
448,B,33,32.3984,34.6785,37.5538,703048,1779
449,B,41,29.6477,33.9262,37.4438,1792,411
450,B,40,28.3951,33.2457,37.3354,49584,790
451,B,41,28.6319,33.0191,37.2607,1992,304
452,B,38,29.2516,32.9567,37.1465,252656,1377
453,B,41,28.3754,32.8661,37.1655,1976,307
454,B,40,28.3924,32.9744,37.2016,47624,672
455,B,41,28.9289,33.4393,37.2001,1824,297
456,B,35,31.1307,33.9435,37.2525,522328,1565
457,B,41,29.0541,33.4057,37.2213,1736,303
458,B,40,28.4606,33.0031,37.2079,43992,675
459,B,41,28.2575,32.783,37.1201,1688,324
460,B,38,29.3062,32.9464,37.1835,251504,1325
461,B,41,28.5191,32.9442,37.2358,1648,355
462,B,40,28.5453,33.2477,37.3436,48368,671
463,B,41,29.8516,33.9593,37.4673,1512,275
464,B,33,32.5115,34.6797,37.5619,690128,1895
465,B,41,29.6888,33.9892,37.4966,1808,296
466,B,40,28.5643,33.2256,37.2907,42968,665
467,B,41,28.6775,33.0003,37.1819,1864,309
468,B,38,29.2936,32.9208,37.0755,247160,1099
469,B,41,28.5601,32.8672,37.0647,1768,319
470,B,40,28.4652,32.9741,37.0568,45696,687
471,B,41,29.3597,33.4852,37.157,1368,285
472,B,35,31.2177,33.9487,37.1599,505296,1481
473,B,41,29.3554,33.4427,37.0935,1528,305
474,B,40,28.4784,33.0066,37.0611,42312,679
475,B,41,28.5477,32.9097,37.0281,1704,324
476,B,38,29.3324,33.0078,36.9982,249072,1090
477,B,41,28.5573,33.0228,37.1606,2168,316
478,B,40,28.5736,33.2908,37.2936,48160,663
479,B,41,29.6857,33.9555,37.4068,1496,281
480,B,33,32.5429,34.7117,37.5704,686384,1707
481,B,41,29.8824,33.9558,37.4702,1472,298
482,B,40,28.6609,33.1819,37.2171,43176,879
483,B,41,28.7987,32.9728,37.0791,2032,351
484,B,38,29.3291,32.9294,36.9782,251568,1312
485,B,41,28.8697,32.9189,37.0135,1904,316
486,B,40,28.4754,33.026,37.0428,46288,907
487,B,41,29.4698,33.534,37.1115,1480,288
488,B,35,31.2443,33.9668,37.1373,506600,1643
489,B,41,29.4403,33.4872,37.1058,1592,320
490,B,40,28.4835,32.9938,37.0295,45216,840
491,B,41,28.6073,32.8696,36.9566,1640,317
492,B,38,29.3336,32.9995,36.9724,249640,1090
493,B,41,28.7223,33.0124,37.0795,1536,322
494,B,40,28.6218,33.2716,37.1999,47400,811
495,B,41,29.7203,33.9105,37.3709,1760,279
496,B,33,32.6219,34.714,37.5022,677592,1844
497,B,41,29.9696,33.947,37.324,1536,326
498,B,40,28.3539,32.7931,37.0352,135776,972
499,B,41,27.5858,32.3791,36.8395,74600,732
